"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB156","Lutjanidae","Lutjanus","lemniscatus",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Carangidae","Carangoides","fulvoguttatus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Serranidae","Plectropomus","spp",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB159","Caesionidae","Caesio","teres",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB159","Pomacentridae","Pomacentrus","coelestis",39,38,1,2.56410256410256
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB161","Labridae","Cirrhilabrus","spp",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Serranidae","Epinephelus","bilobatus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB164","Labridae","Coris","caudimacula",13,12,1,7.69230769230769
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB167","Pomacanthidae","Pomacanthus","semicirculatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB167","Tetraodontidae","Canthigaster","coronata",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB172","Labridae","Cirrhilabrus","temminckii",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB174","Tetraodontidae","Canthigaster","coronata",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB175","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB176","Labridae","Cirrhilabrus","temminckii",6,7,1,16.6666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB176","Labridae","Oxycheilinus","rhodochrous",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB177","Labridae","Halichoeres","nebulosus",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB181","Chaetodontidae","Chaetodon","lunulatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB183","Labridae","Oxycheilinus","bimaculatus",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB184","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB186","Tetraodontidae","Canthigaster","coronata",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB188","Serranidae","Epinephelus","bilobatus",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Labridae","Halichoeres","biocellatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Labridae","Macropharyngodon","negrosensis",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Nemipteridae","Pentapodus","porosus",2,3,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB192","Labridae","Cirrhilabrus","temminckii",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB193","Chaetodontidae","Heniochus","acuminatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB193","Pomacentridae","Pomacentrus","coelestis",114,113,1,0.87719298245614
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB196","Labridae","Hologymnosus","annulatus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB197","Chaetodontidae","Chaetodon","lunula",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB197","Scaridae","Scarus","rivulatus",2,3,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB198","Apogonidae","Apogon","doederleini",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB198","Pomacentridae","Neopomacentrus","azysron",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB199","Carangidae","Atule","mate",15,14,1,6.66666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB20","Chaetodontidae","Parachaetodon","ocellatus",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB203","Pomacentridae","Pomacentrus","limosus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB205","Synodontidae","Trachinocephalus","myops",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB207","Labridae","Thalassoma","lutescens",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB208","Chaetodontidae","Heniochus","acuminatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB211","Serranidae","Epinephelus","fasciatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB214","Scaridae","Scarus","schlegeli",2,3,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB216","Acanthuridae","Acanthurus","grammoptilus",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB216","Pomacentridae","Neopomacentrus","azysron",109,108,1,0.917431192660551
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB219","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB22","Pomacentridae","Pomacentrus","coelestis",8,7,1,12.5
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB220","Dasyatidae","Himantura","jenkinsii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB221","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB221","Scaridae","Chlorurus","sordidus",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB221","Scaridae","Scarus","spp",2,3,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB222","Labridae","Halichoeres","melanochir",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB223","Labridae","Unknown","spp",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB223","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB223","Serranidae","Epinephelus","fasciatus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB226","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB228","Labridae","Halichoeres","nebulosus",11,10,1,9.09090909090909
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB228","Nemipteridae","Pentapodus","porosus",13,12,1,7.69230769230769
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB228","Scaridae","Scarus","spp",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB23","Siganidae","Siganus","doliatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB230","Lethrinidae","Lethrinus","ravus",4,5,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB230","Pomacentridae","Pomacentrus","coelestis",61,60,1,1.63934426229508
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB24","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB242","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB242","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB244","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB246","Nemipteridae","Pentapodus","porosus",8,7,1,12.5
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB252","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB253","Acanthuridae","Acanthurus","grammoptilus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB254","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB256","Balistidae","Sufflamen","chrysopterum",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB259","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB260","Labridae","Halichoeres","nebulosus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB261","Chaetodontidae","Chaetodon","kleinii",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB265","Caesionidae","Pterocaesio","tile",55,54,1,1.81818181818182
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB266","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB268","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB27","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB30","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB30","Siganidae","Siganus","punctatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB32","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB32","Pomacentridae","Chromis","fumea",34,33,1,2.94117647058824
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB32","Rhynchobatidae","Rhynchobatus","australiae",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","Scaridae","Chlorurus","rhakoura",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","Scaridae","Scarus","rivulatus",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB4","Carangidae","Atule","mate",15,14,1,6.66666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB41","Pomacentridae","Pomacentrus","milleri",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB42","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB42","Labridae","Anampses","lennardi",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB46","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","Siganidae","Siganus","doliatus",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB48","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB48","Siganidae","Siganus","fuscescens",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB5","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB52","Labridae","Choerodon","cauteroma",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Labridae","Anampses","lennardi",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Siganidae","Siganus","doliatus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB6","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB61","Labridae","Anampses","lennardi",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB64","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB64","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB65","Grammistidae","Diploprion","bifasciatum",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB69","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB70","Grammistidae","Diploprion","bifasciatum",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB71","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB74","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB75","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB76","Rhynchobatidae","Rhynchobatus","australiae",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB78","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB78","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB81","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB81","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB84","Labridae","Choerodon","cyanodus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB89","Nemipteridae","Pentapodus","porosus",21,20,1,4.76190476190476
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB89","Scombridae","Scomberomorus","spp",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB90","Synodontidae","Trachinocephalus","myops",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB91","Synodontidae","Trachinocephalus","myops",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB93","Synodontidae","Trachinocephalus","myops",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB94","Rhynchobatidae","Rhynchobatus","australiae",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB95","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB96","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB98","Labridae","Halichoeres","nebulosus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB99","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB99","Lethrinidae","Lethrinus","olivaceus",1,2,1,100
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB385","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB386","Dasyatidae","Himantura","fai",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB386","Dasyatidae","Himantura","granulata",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB387","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB392","Pomacentridae","Amblypomacentrus","breviceps",3,2,1,33.3333333333333
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Balistidae","Abalistes","stellatus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB397","Labridae","Oxycheilinus","rhodochrous",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB399","Priacanthidae","Priacamthus","hamrur",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB403","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB403","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB404","Balistidae","Abalistes","stellatus",1,2,1,100
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB411","Rhynchobatidae","Rhynchobatus","australiae",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB413","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB413","Labridae","Oxycheilinus","rhodochrous",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB417","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB418","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB420","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB422","Carangidae","Carangoides","caeruleopinnatus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB422","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB422","Rhynchobatidae","Rhynchobatus","australiae",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB425","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB426","Carangidae","Carangoides","chrysophrys",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB426","Rhynchobatidae","Rhynchobatus","australiae",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB427","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB437","Hydrophiidae","Astrotia","stokesii",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB438","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB439","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB447","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB448","Haemulidae","Plectorhinchus","unicolor",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB449","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB451","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB451","Lethrinidae","Lethrinus","ravus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB454","Malacanthidae","Malacanthus","brevirostris",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB455","Balistidae","Xanthichthys","lineopunctatus",3,2,1,33.3333333333333
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB455","Haemulidae","Plectorhinchus","unicolor",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB455","Serranidae","Pseudanthias","rubrizonatus",4,3,1,25
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB458","Dasyatidae","Neotrygon","kuhlii",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB459","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB459","Hydrophiidae","Aipysurus","fuscus",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB459","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB459","Serranidae","Epinephelus","bilobatus",5,4,1,20
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB463","Apogonidae","Ostorhinchus","fasciatus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB463","Apogonidae","Ostorhinchus","spp",1,2,1,100
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB463","Hydrophiidae","Aipysurus","tenuis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB463","Labridae","Oxycheilinus","rhodochrous",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB464","Chaetodontidae","Heniochus","acuminatus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB465","Lethrinidae","Lethrinus","olivaceus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB466","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB467","Lethrinidae","Lethrinus","ravus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB468","Hydrophiidae","Aipysurus","laevis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB468","Labridae","Oxycheilinus","rhodochrous",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB468","Lethrinidae","Lethrinus","ravus",4,3,1,25
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB472","Lethrinidae","Lethrinus","ravus",2,1,1,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB473","Hydrophiidae","Aipysurus","laevis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB478","Haemulidae","Diagramma","pictum",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB478","Hydrophiidae","Aipysurus","laevis",0,1,1,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB480","Lethrinidae","Lethrinus","ravus",3,2,1,33.3333333333333
